experiment,subject_ID,date,task,session_type,trial,start_time,end_time,duration,recording_A,recording_X,recording_B,response,correct,difference,step-size,reversals,direction
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,1,17:43:47,17:43:55,00:00:08,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_550.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.55,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,2,17:43:47,17:44:02,00:00:15,audio/audio-pause/lilli_lisa_ch_pause_0_525.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.525,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,3,17:43:47,17:44:10,00:00:23,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,right,True,0.5,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,4,17:43:47,17:44:17,00:00:30,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,True,0.475,0.025,0,down
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,5,17:43:47,17:44:25,00:00:38,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,False,0.45,0.025,0,up
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,6,17:43:47,17:44:33,00:00:46,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,right,True,0.475,0.025,1,none
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,7,17:43:47,17:44:41,00:00:54,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,left,True,0.475,0.025,1,down
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,8,17:43:47,17:44:49,00:01:02,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_450.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,left,False,0.45,0.025,2,up
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,9,17:43:47,17:44:58,00:01:11,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,audio/audio-pause/lilli_lisa_ch_pause_0_475.wav,right,False,0.475,0.025,3,up
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,10,17:43:47,17:45:06,00:01:19,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,right,True,0.5,0.025,3,none
jnd_experiment,subject_ID,2023-05-24 17:43,pause,trial,11,17:43:47,17:45:14,00:01:27,audio/audio-pause/lilli_lisa_ch_pause_0_000.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,audio/audio-pause/lilli_lisa_ch_pause_0_500.wav,right,False,0.5,0.025,3,up
